CASE_NUMBER,DATE,VICTIMIZATION_PRIMARY,INCIDENT_PRIMARY,GUNSHOT_INJURY_I,COMMUNITY_AREA,STREET_OUTREACH_ORGANIZATION,AREA,DISTRICT,BEAT,AGE,SEX,RACE,VICTIMIZATION_IUCR_SECONDARY,MONTH,DAY_OF_WEEK,HOUR,LOCATION_DESCRIPTION
JE225079,5/9/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623 | CRED West Side,4,10,1011,40-49,M,BLK,AGGRAVATED - HANDGUN,5,1,22,STREET
JE225079,5/9/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623 | CRED West Side,4,10,1011,30-39,M,BLK,AGGRAVATED - HANDGUN,5,1,22,STREET
JE225125,5/9/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1533,0-19,M,BLK,AGGRAVATED - HANDGUN,5,1,23,STREET
JE225971,5/10/21,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,732,0-19,M,BLK,AGGRAVATED - HANDGUN,5,2,18,VACANT LOT / LAND
JE226110,5/10/21,BATTERY,BATTERY,YES,AUSTIN,Together Chicago Austin | READI 60644 | INVC Austin,4,15,1532,30-39,M,BLK,AGGRAVATED - HANDGUN,5,2,19,SIDEWALK
JE227194,5/11/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1115,20-29,M,BLK,AGGRAVATED - HANDGUN,5,3,21,SIDEWALK
JE227836,5/12/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,735,20-29,M,BLK,AGGRAVATED - HANDGUN,5,4,14,RESIDENCE - PORCH / HALLWAY
JE227853,5/12/21,BATTERY,BATTERY,YES,AUSTIN,Together Chicago Austin | READI 60644 | INVC Austin,4,15,1532,40-49,M,BLK,AGGRAVATED - HANDGUN,5,4,15,STREET
JE227930,5/12/21,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,724,0-19,M,BLK,AGGRAVATED - HANDGUN,5,4,16,ALLEY
JA526825,11/27/17,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1021,UNKNOWN,UNKNOWN,UNKNOWN,AGGRAVATED - HANDGUN,11,2,11,SIDEWALK
